title,topic
"Terminally ill Connecticut woman ends her life on her own terms, in Vermont",Healthcare
King Charles III will have a prostate operation next week while Kate recovers from abdominal surgery,Healthcare
Community health centers serve 1 in 11 Americans. They're a safety net under stress,Healthcare
Washington state reaches a nearly $150 million settlement with Johnson & Johnson over opioid crisis,Healthcare
Community health centers serve 1 in 11 Americans. They're a safety net under stress,Healthcare
Defense Secretary Lloyd Austin returns to work at the Pentagon after cancer surgery complications,Healthcare
Maker of recalled sleep apnea machines agrees to halt sales in US,Healthcare
NOT REAL NEWS: A look at what didn't happen this week,Healthcare
"Austin kept prostate cancer, surgery complications a secret from everyone, even Biden",Healthcare
"Biden says Austin still has his confidence, but not revealing hospitalization was lapse in judgment",Healthcare
The Supreme Court will decide whether local anti-homeless laws are 'cruel and unusual',Healthcare
"New York City plans to wipe out $2 billion in medical debt for 500,000 residents",Healthcare
Maker of recalled sleep apnea machines agrees to halt sales in US,Healthcare
Maker of recalled sleep apnea machines agrees to halt sales in US,Healthcare
NOT REAL NEWS: A look at what didn't happen this week,Healthcare
"Austin kept prostate cancer, surgery complications a secret from everyone, even Biden",Healthcare
Secrecy surrounding the defense secretary's hospitalization has put the White House on the defensive,Healthcare
Thousands of doctors in Britain walk off the job in their longest-ever strike,Healthcare
"Terminally ill Connecticut woman ends her life on her own terms, in Vermont",Healthcare
The Pentagon adds new details about Austin's secretive hospital stay and the delay in telling Biden,Healthcare
"White House, Pentagon will review Defense Secretary Austin's lack of disclosure on his hospital stay",Healthcare
"There's a glimmer of hope for broader health coverage in Georgia, but also a good chance of a fizzle",Healthcare
Austin is released from hospital after complications from prostate cancer surgery he kept secret,Healthcare
King Charles III will have a prostate operation next week while Kate recovers from abdominal surgery,Healthcare
"There's a glimmer of hope for broader health coverage in Georgia, but also a good chance of a fizzle",Healthcare
"Terminally ill Connecticut woman ends her life on her own terms, in Vermont",Healthcare
"Defense Secretary Austin has been hospitalized since Jan. 1, but the Pentagon kept the news quiet",Healthcare
Los Angeles County has thousands of ‘unclaimed dead.’ These investigators retrace their lives,Healthcare
"How to watch Michigan vs. Washington in national championship: Channel, time, streaming",Sports - Football
Bills schedule could be disrupted with another lake-effect snowstorm forecast to hit region,Sports - Football
Mike Tomlin and the Steelers are stuck in NFL purgatory. There appears to be no quick way out,Sports - Football
California Gov. Gavin Newsom says he won't sign a proposed ban on tackle football for kids under 12,Sports - Football
Texans' C.J. Stroud and Packers' Jordan Love have dazzling playoff debuts,Sports - Football
Analysis: Mahomes and the Chiefs must win a Super Bowl this season to challenge Patriots' dynasty,Sports - Football
Michigan promotes offensive coordinator Sherrone Moore to replace Jim Harbaugh as head coach,Sports - Football
"After 53 years, Baltimore is again a gateway to the Super Bowl as AFC championship game host",Sports - Football
"Led by Chiefs-Bills thriller, NFL divisional round averages record 40 million viewers",Sports - Football
Conference title games are old hat for Chiefs and 49ers and new stage for Baltimore and Lions,Sports - Football
"Brock Purdy, 49ers rally from 17 points down, beat Lions 34-31 to advance to Super Bowl",Sports - Football
The Super Bowl is set: Mahomes and the Chiefs will face Purdy and the 49ers,Sports - Football
Look what the Chiefs made airlines do: New flight numbers offered for Super Bowl,Sports - Football
Chiefs and Dolphins play fourth-coldest game in NFL history at minus-4 degrees,Sports - Football
Chiefs' Patrick Mahomes has helmet shattered during playoff game vs. Miami,Sports - Football
Mike McCarthy sells belief in playoff breakthrough that has eluded Cowboys,Sports - Football
Miami TE Cam McCormick says he's coming back for 9th year of college,Sports - Football
Raiders remove interim tag and hire Antonio Pierce as their head coach,Sports - Football
NFL Playoff Guide: How to watch the games and betting favorites,Sports - Football
Analysis: More NFL teams could make coaching changes if they stumble early in the playoffs,Sports - Football
Michigan overpowers Washington 34-13 as Jim Harbaugh delivers a national title,Sports - Football
What's next for Jim Harbaugh? Michigan coach faces decision on whether to stay or go back to NFL,Sports - Football
Pat McAfee announces Aaron Rodgers' appearances are over for the rest of this NFL season,Sports - Football
"Patriots' 'partnership' with Bill Belichick comes to an end after 24 seasons, 6 Super Bowl titles",Sports - Football
Playoff game behind a Peacock paywall is a new frontier in NFL's embrace of streaming,Sports - Football
"Patriots name Jerod Mayo as next head coach, Bill Belichick's successor",Sports - Football
"NFL All-Pro: McCaffrey, Hill, Warner unanimous; 14 first-timers",Sports - Football
Nick Saban is latest championship-winning coach to exit amid drastic changes to college sports,Sports - Football
"Kalen DeBoer hired to replace Nick Saban at Alabama, leaving national runner-up Washington",Sports - Football
Harbaugh's Michigan Wolverines to play for national title after stopping Alabama 27-20 in OT,Sports - Football
Michael Penix Jr. leads No. 2 Washington to 37-31 victory over Texas and spot in national title game,Sports - Football
"Jared Goff throws 2 TD passes, Lions advance to NFC title game with 31-23 win over Buccaneers",Sports - Football
Kelce scores twice and Chiefs beat Bills 27-24 to advance to face Ravens in AFC championship,Sports - Football
Jordan Love's strong 1st season as Packers QB ends with disappointing playoff loss,Sports - Football
Las Vegas' first Super Bowl is driving record prices on the secondary ticket market,Sports - Football
The 49ers take on the Chiefs in a rare Super Bowl rematch,Sports - Football
An Alabama draft pick has never scored in a Super Bowl. That won't change this year.,Sports - Football
"Analysis: Cowboys got all the breaks while Ravens and 49ers were big winners, locking up No. 1 seeds",Sports - Football
NCAA President Charlie Baker: Nobody can say Michigan didn't win national title 'fair and square',Sports - Football
Nick Saban's Alabama dynasty fueled 20 years of Southeastern Conference college football dominance,Sports - Football
"Alabama's Nick Saban retires after 7 national titles, most in major college football history",Sports - Football
Pat McAfee announces Aaron Rodgers' appearances are over for the rest of this NFL season,Sports - Football
Chiefs' Reid: Toney's injury 'not made up by any means' after WR accuses team of lying about it,Sports - Football
Las Vegas' first Super Bowl is driving record prices on the secondary ticket market,Sports - Football
"Lions finally giving fans, including Eminem, chance to cheer for a winner after decades of futility",Sports - Football
Michigan is a unanimous No. 1 in final AP Top 25 football poll. Florida State finishes tied for 6th,Sports - Football
Analysis: Victory formation was never meant for the kind of trickery the Saints used against Atlanta,Sports - Football
Texans' duo of C.J. Stroud and DeMeco Ryans highlights a big season for rookies,Sports - Football
"NFL fines Panthers owner David Tepper $300,000 for tossing drink at Jaguars fans",Sports - Football
"The 49ers have a rare quartet of 1,000-yard players. Dolphins and Lions could do the same",Sports - Football
Firefighters put out large fire at the home of Miami Dolphins receiver Tyreek Hill,Sports - Football
"Kalen DeBoer hired to replace Nick Saban at Alabama, leaving national runner-up Washington",Sports - Football
"Black leadership at head coach, QB to be more visible than ever during NFL playoffs",Sports - Football
Chiefs and Dolphins play fourth-coldest game in NFL history at minus-4 degrees,Sports - Football
"Titans agree to hire Bengals offensive coordinator Brian Callahan as head coach, AP source says",Sports - Football
NFL Playoff Guide: How to watch the games and betting favorites,Sports - Football
"AFC title game means a reunion for John Harbaugh and Andy Reid, who coached together in Philadelphia",Sports - Football
Harbaugh returning to NFL to coach Chargers after leading Michigan to national title,Sports - Football
"The NFL's final 4 QBs are often first-round picks. This time, 1 is not like the others",Sports - Football
"Jackson, McCaffrey and Prescott are finalists for the AP 2023 NFL MVP and offensive player awards",Sports - Football
Josh Allen rallies Bills for 21-14 win over Dolphins. Buffalo secures No. 2 seed in AFC,Sports - Football
"Saints players defy their own coaches and score from kneel-down formation, angering the Falcons",Sports - Football
Falcons fire coach Arthur Smith hours after completing 3rd straight 7-10 season,Sports - Football
"Franz Beckenbauer, who won the World Cup both as player and coach for Germany, has died at 78",Sports - Football
"Analysis: Bills, Cowboys were the NFL's biggest winners in Week 18, securing the No. 2 seeds",Sports - Football
"How to watch Michigan vs. Washington in national championship: Channel, time, streaming",Sports - Football
Commanders fire coach Ron Rivera as new ownership begins making changes,Sports - Football
"Jared Goff leads Lions to first playoff win in 32 years, 24-23 over Matthew Stafford and the Rams",Sports - Football
"Analysis: After another playoff failure by Dallas, maybe a call to Belichick can save the Cowboys",Sports - Football
Mother Nature proves no match for Bills fans attending Buffalo's playoff game vs. Steelers,Sports - Football
"Pro Picks: Ravens, Bills, 49ers, Lions will advance to conference championship games",Sports - Football
Mike McCarthy will return as coach of the Dallas Cowboys after stunning wild-card loss,Sports - Football
California Gov. Gavin Newsom says he won't sign a proposed ban on tackle football for kids under 12,Sports - Football
Lions coach Dan Campbell says he has a ton of receipts. He isn't ready to show them after big win,Sports - Football
Analysis: Philly will demand accountability for the Eagles' collapse after playoff loss to Bucs,Sports - Football
Bill Belichick interviews with Falcons for head coaching job,Sports - Football
"Hope abounds for the NFL's final four as Browns, Lions, Texans and Jaguars eye elusive Super Bowl",Sports - Football
"Raheem Morris hired as head coach by Atlanta Falcons, who pass on Bill Belichick",Sports - Football
Analysis: Mahomes and the Chiefs must win a Super Bowl this season to challenge Patriots' dynasty,Sports - Football
NFL reaches 'major milestone' with record 9 minority head coaches in place for the 2024 season,Sports - Football
Jurgen Klopp leaving Liverpool after the season because he's 'running out of energy',Sports - Football
The largest male specimen of the world’s most venomous spider has been found in Australia,Animals
"Meet the newest breed to join the American Kennel Club, a little dog with a big smile",Animals
A dog shelter gets a warm response to its appeal for homes for its pups during a cold snap in Poland,Animals
Guinness World Records suspends 'oldest dog ever' title for Portuguese canine during a review,Animals
Avian flu is devastating farms in California's 'Egg Basket' as outbreaks roil poultry industry,Animals
Gangly adolescent giraffe Benito has a new home. Now comes the hard part — fitting in with the herd,Animals
A blast of cold lets gators show off a special skill to survive icy weather,Animals
Once unknown emperor penguin colonies have been spotted in Antarctica — though some are moving away,Animals
"AP PHOTOS: Crowds in India's northeast cheer bird and buffalo fights, back after 9-year ban",Animals
Bullfighting resumes in Mexico City before a full crowd while activists protest outside,Animals
"The largest great ape to ever live went extinct because of climate change, study finds",Animals
"Arrest warrant issued for Montana man accused of killing thousands of birds, including eagles",Animals
Dog meat production and sales will soon become illegal in South Korea,Animals
'Cold-blooded': 4 charged over alleged plot to smuggle AU$1.2 million in Australian reptiles,Animals
The return of bullfighting to Mexico's capital excites fans and upsets animal rights groups,Animals
Nearly 200 cows and horses stuck on a Serbian river island in cold weather are being rescued,Animals
The largest male specimen of the world’s most venomous spider has been found in Australia,Animals
"Meet the newest breed to join the American Kennel Club, a little dog with a big smile",Animals
"The largest great ape to ever live went extinct because of climate change, study finds",Animals
"Benito the giraffe goes on a 40-hour road trip to find warmth, and maybe a mate, in central Mexico",Animals
Dirty rat! Culprit fills in Chicago neighborhood landmark known as the 'rat hole',Animals
6-legged spaniel undergoes surgery to remove extra limbs and adjusts to life on 4 paws,Animals
Dirty rat! Culprit fills in Chicago neighborhood landmark known as the 'rat hole',Animals
"At trendy Japanese cafés, customers enjoy cuddling with pigs",Animals
Hungry sea otters are helping save California's marshlands from erosion,Animals
"At trendy Japanese cafés, customers enjoy cuddling with pigs",Animals
Good girl! Officer enlists a Michigan man's dog to help rescue him from an icy lake,Animals
Nearly 200 cows and horses stuck on a Serbian river island in cold weather are being rescued,Animals
The return of bullfighting to Mexico's capital excites fans and upsets animal rights groups,Animals
Dog meat production and sales will soon become illegal in South Korea,Animals
"The largest great ape to ever live went extinct because of climate change, study finds",Animals
"Meet the newest breed to join the American Kennel Club, a little dog with a big smile",Animals
A refugee bear from a bombed-out Ukraine zoo finds a new home in Scotland,Animals
"The largest great ape to ever live went extinct because of climate change, study finds",Animals
Gangly adolescent giraffe Benito has a new home. Now comes the hard part — fitting in with the herd,Animals
Family of woman killed in alligator attack sues housing company alleging negligence,Animals
Bullfight advocates working with young people to attract new followers in Mexico,Animals
"Zebras, camels and flames, oh my! Circus animals rescued after truck catches fire on Indiana highway",Animals
"Meet the newest breed to join the American Kennel Club, a little dog with a big smile",Animals
The largest male specimen of the world’s most venomous spider has been found in Australia,Animals
"The largest great ape to ever live went extinct because of climate change, study finds",Animals
A rare male pygmy hippo born in a Czech zoo debuts his first photoshoot,Animals
Plan for $400 million monkey-breeding facility in southwest Georgia draws protest,Animals
Guinness World Records suspends 'oldest dog ever' title for Portuguese canine during a review,Animals
Kenya embarks on its biggest rhino relocation project. A previous attempt was a disaster,Animals
"Meet the newest breed to join the American Kennel Club, a little dog with a big smile",Animals
The largest male specimen of the world’s most venomous spider has been found in Australia,Animals
"Meet Efruz, the Jack Russell terrier that loves to surf the waves of Peru",Animals
What to know about the Alaska Airlines 737 Max 9 jet that suffered a blowout,Transportation
No joke: Feds discourage humorous electronic messages on highways,Transportation
A man opened an emergency exit and walked on a plane's wing. Passengers are supporting his action,Transportation
Ford will recall nearly 1.9 million Explorer SUVs to secure trim pieces that can fly off in traffic,Transportation
Delta plane loses nose wheel as it prepared for takeoff from Atlanta,Transportation
Oklahoma trooper violently thrown to the ground as vehicle on interstate hits one he'd pulled over,Transportation
Man who built plane that crashed off California coast recalls selling to enthusiast young pilot,Transportation
Boeing 747 cargo plane makes emergency landing shortly after takeoff at Miami airport,Transportation
Alaska Airlines' decision not to ground Boeing jet despite warning signs comes under scrutiny,Transportation
Airlines say they found loose parts in door panels during inspections of Boeing Max 9 jets,Transportation
A jet's carbon-composite fiber fuselage burned on a Tokyo runway. Is the material safe?,Transportation
Edmunds recommends the best vehicles for achieving your New Year's resolutions,Transportation
US investigating if Boeing made sure a part that blew off a jet was made to design standards,Transportation
"Train derails and catches fire near San Francisco, causing minor injuries and service disruptions",Transportation
"Planes collide and catch fire at Japan's busy Haneda airport, killing 5. Hundreds evacuated safely",Transportation
Man found dead at Salt Lake City airport after climbing inside jet engine,Transportation
"German train drivers' union calls a six-day strike starting Wednesday over pay, working hours",Transportation
"Facing scrutiny over quality control, Boeing withdraws request for safety exemption",Transportation
"Toyota urges owners of old Corolla, Matrix and RAV4 models to park them until air bags are replaced",Transportation
Investigators detail how an American Airlines jet crossed a runway in front of a Delta plane at JFK,Transportation
US investigating if Boeing made sure a part that blew off a jet was made to design standards,Transportation
Alaska Airlines cancels flights on certain Boeing planes through Saturday for mandatory inspections,Transportation
A man opened an emergency exit and walked on a plane's wing. Passengers are supporting his action,Transportation
Investigators detail how an American Airlines jet crossed a runway in front of a Delta plane at JFK,Transportation
"Toyota urges owners of old Corolla, Matrix and RAV4 models to park them until air bags are replaced",Transportation
"Facing scrutiny over quality control, Boeing withdraws request for safety exemption",Transportation
Investigation into why a panel blew off a Boeing Max 9 jet focuses on missing bolts,Transportation
"Planes collide and catch fire at Japan's busy Haneda airport, killing 5. Hundreds evacuated safely",Transportation
Man found dead at Salt Lake City airport after climbing inside jet engine,Transportation
Investigators focus on air traffic communication after a fatal Tokyo runway crash,Transportation
NTSB investigating 2 Brightline high speed train crashes that killed 3 people in Florida this week,Transportation
Ford will recall nearly 1.9 million Explorer SUVs to secure trim pieces that can fly off in traffic,Transportation
A man opened an emergency exit and walked on a plane's wing. Passengers are supporting his action,Transportation
Boeing jetliner that suffered inflight blowout was restricted because of concern over warning light,Transportation
Alaska Airlines' decision not to ground Boeing jet despite warning signs comes under scrutiny,Transportation
"New York City subway train derails in collision with another train, injuring more than 20 people",Transportation
US officials say 40 Boeing jets have been inspected as investigations continue into midair blowout,Transportation
No joke: Feds discourage humorous electronic messages on highways,Transportation
A timeline of key moments leading to Japan planes colliding. Human error is seen as a possible cause,Transportation
Federal officials order grounding of some Boeing 737 Max 9 jetliners after plane suffers a blowout,Transportation
What you should know if you're about to fly on a Boeing Max 9,Transportation
Taylor Drift or Beyonsleigh? Voting open to name Minnesota snowplows,Transportation
