Topics,Title,Summary,Wiki_url
Basketball,Basketball,"Basketball is a team sport in which two teams, most commonly of five players each, opposing one another on a rectangular court, compete with the primary objective of shooting a basketball (approximately 9.4 inches (24 cm) in diameter) through the defender's hoop (a basket 18 inches (46 cm) in diameter mounted 10 feet (3.048 m) high to a backboard at each end of the court), while preventing the opposing team from shooting through their own hoop. A field goal is worth two points, unless made from behind the three-point line, when it is worth three. After a foul, timed play stops and the player fouled or designated to shoot a technical foul is given one, two or three one-point free throws. The team with the most points at the end of the game wins, but if regulation play expires with the score tied, an additional period of play (overtime) is mandated.
Players advance the ball by bouncing it while walking or running (dribbling) or by passing it to a teammate, both of which require considerable skill. On offense, players may use a variety of shots – the layup, the jump shot, or a dunk; on defense, they may steal the ball from a dribbler, intercept passes, or block shots; either offense or defense may collect a rebound, that is, a missed shot that bounces from rim or backboard. It is a violation to lift or drag one's pivot foot without dribbling the ball, to carry it, or to hold the ball with both hands then resume dribbling.
The five players on each side fall into five playing positions. The tallest player is usually the center, the second-tallest and strongest is the power forward, a slightly shorter but more agile player is the small forward, and the shortest players or the best ball handlers are the shooting guard and the point guard, who implement the coach's game plan by managing the execution of offensive and defensive plays (player positioning). Informally, players may play three-on-three, two-on-two, and one-on-one.
Invented in 1891 by Canadian-American gym teacher James Naismith in Springfield, Massachusetts, in the United States, basketball has evolved to become one of the world's most popular and widely viewed sports. The National Basketball Association (NBA) is the most significant professional basketball league in the world in terms of popularity, salaries, talent, and level of competition (drawing most of its talent from U.S. college basketball). Outside North America, the top clubs from national leagues qualify to continental championships such as the EuroLeague and the Basketball Champions League Americas. The FIBA Basketball World Cup and Men's Olympic Basketball Tournament are the major international events of the sport and attract top national teams from around the world. Each continent hosts regional competitions for national teams, like EuroBasket and FIBA AmeriCup.
The FIBA Women's Basketball World Cup and women's Olympic basketball tournament feature top national teams from continental championships. The main North American league is the WNBA (NCAA Women's Division I Basketball Championship is also popular), whereas the strongest European clubs participate in the EuroLeague Women.",https://en.wikipedia.org/wiki/Basketball
Basketball,College basketball,"College basketball is basketball that is played by teams of student-athletes at universities and colleges. In the United States, colleges and universities are governed by collegiate athletic bodies, including the National Collegiate Athletic Association (NCAA), the National Association of Intercollegiate Athletics (NAIA), the United States Collegiate Athletic Association (USCAA), the National Junior College Athletic Association (NJCAA), and the National Christian College Athletic Association (NCCAA). Each of these various organizations is subdivided into one to three divisions, based on the number and level of scholarships that may be provided to the athletes. Teams with more talent tend to win over teams with less talent.
Each organization has different conferences to divide the teams into groups. Traditionally, the location of a school has been a significant factor in determining conference affiliation. The bulk of the games on a team's schedule during the season are against fellow conference members. Therefore, geographic proximity of conference members allows local rivalries to develop and minimizes travel costs. Further, televised road games played in the same time zone as that of the visiting team's fans tend to draw larger audiences, which enhances the value of the media rights.
Institutional compatibility is another factor that may lead schools to band together in the same conference. For instance, as of 2024, all full members of the West Coast Conference are Christian colleges and universities located in the Pacific Time Zone. The Ivy League comprises institutions with similar, high academic standards that prefer to schedule nearly all their conference basketball games on Fridays and Saturdays, except during breaks between semesters, to minimize the disruption caused to the studies of the student-athletes.
Since the 1990s, geographic proximity has gradually become a less important factor in determining membership in NCAA Division I conferences. For instance, the Big Ten Conference was originally composed of institutions in the Midwest. It has since expanded to include members in New Jersey, Maryland and Pennsylvania. On July 1, 2024, the Big Ten admitted four new members, all of which are located in the Pacific Time Zone. The Atlantic Coast Conference (ACC) had a footprint that extended from Maryland to Florida, with all members located in states on the Atlantic Coast in the 1990s. It has since expanded to include members in Massachusetts, New York, Pennsylvania, Kentucky and Indiana. In July and August 2024, the ACC admitted two new members located in California and one new member located in Texas.
The shifts in conference membership are primarily driven by schools seeking lucrative media rights deals and appropriately competitive playing partners for their football programs. In most cases, schools house as many of their sports in the same primary conference as possible. So, the football-driven changes in affiliation lead to changes in the composition of basketball conferences. When a conference loses a member to another conference, it will often try to recruit a replacement from a third conference. This triggers a domino effect, and smaller, less stable conferences struggle to remain large enough to compete at the same level as they had in the past. The smallest Division I conferences sometimes recruit Division II teams and help those institutions transition to Division I, in order to replace teams they have lost. Sometimes, this is done pre-emptively to make the conference larger and protect it against the possible loss of some of its teams.
Teams are not required to join conferences and may play as independents instead. Chicago State is the most recent independent basketball team in Division I of the NCAA, having competed as an independent for two seasons before joining the Northeast Conference in 2024. Finding opponents can be problematic for an independent team, particularly during the latter part of the season, when most other teams are regularly playing conference opponents. In addition, each conference gets an automatic bid to the NCAA tournament. Independent teams do not have access to such a pathway and must be selected at-large in order to participate in the tournament. Chicago State joined the Northeast Conference on July 1, 2024, leaving no independent teams in NCAA Division I.
Most games between conference opponents take place in the latter part of the season. While there are various rankings of teams throughout the entire NCAA, there are also conference standings based on the results of games against conference opponents. Once the conference schedule is complete, the conference stages a tournament that includes some or all of its teams. The regular-season conference standings are generally used to determine qualification for and seeding in the conference tournament. The Western Athletic Conference is an exception. It uses the regular-season conference standings to determine qualification for its tournament, but seeding is based on a formulaic ranking of the strength of the qualifiers, including their performances against non-conference opponents. In most cases, the winner of the conference tournament receives an automatic bid to the NCAA tournament. However, teams that are in transition from Division II are not eligible for the NCAA tournament. Therefore, if such a team wins a conference tournament, the conference will use an alternate method to select the team to receive its automatic bid. Some conferences allow transitioning teams to participate in their conference tournaments; others do not allow this. The Western Athletic Conference (WAC) is an exception. It uses regular-season standings to determine qualification but bases seeding on a formulaic ranking that includes the teams' performances against non-conference opponents. In most cases, the winner of the conference tournament earns an automatic bid to the NCAA tournament. However, teams transitioning from Division II are not eligible for the NCAA tournament. If such a team wins its conference tournament, the conference will use an alternative method to select which team will receive the automatic bid. Some conferences permit transitioning teams to participate in their tournaments, while others do not.",https://en.wikipedia.org/wiki/College_basketball
Basketball,National Basketball Association,"The National Basketball Association (NBA) is a professional basketball league in North America composed of 30 teams (29 in the United States and 1 in Canada). The NBA is one of the major professional sports leagues in the United States and Canada and is considered the premier professional basketball league in the world. The league is headquartered in Midtown Manhattan.
The NBA was created on August 3, 1949, with the merger of the Basketball Association of America (BAA) and the National Basketball League (NBL). The league later adopted the BAA's history and considers its founding on June 6, 1946, as its own. In 1976, the NBA and the American Basketball Association (ABA) merged, adding four franchises to the NBA. The NBA's regular season runs from October to April, with each team playing 82 games. The league's playoff tournament extends into June, culminating with the NBA Finals championship series.
The NBA is an active member of USA Basketball (USAB), which is recognized by the International Basketball Federation (FIBA) as the governing body for basketball in the United States. The NBA is the second-wealthiest professional sports league in the world by revenue after the National Football League (NFL). As of 2020, NBA players are the world's highest paid athletes by average annual salary per player.
The Boston Celtics have the most NBA championships with 18 and are the reigning league champions, having defeated the Dallas Mavericks in the 2024 NBA Finals.",https://en.wikipedia.org/wiki/National_Basketball_Association
Basketball,History of basketball,"Basketball began with its invention in 1891 in Springfield, Massachusetts, by Canadian physical education instructor James Naismith as a less injury-prone sport than football. Naismith was a 31-year-old graduate student when he created the indoor sport to keep athletes indoors during the winters. The game became established fairly quickly and grew very popular as the 20th century progressed, first in America and then in other parts of the world. After basketball became established in American colleges, the professional game followed. The American National Basketball Association (NBA), established in 1946, grew to a multibillion-dollar enterprise by the end of the century, and basketball became an integral part of American culture.",https://en.wikipedia.org/wiki/History_of_basketball
Basketball,Basketball positions,"In basketball, there are five players on the court per team, each assigned to different positions. From a strategic point of view, these players have been assigned to positions defined by the role they play. Players are split into three main categories: guard, forward, and center, with the standard team featuring two guards, two forwards, and a center. Over time, as more specialized roles developed, each of the guards and forwards came to be differentiated. Today, each of the five positions is known by a unique name and number: point guard (PG) or 1, the shooting guard (SG) or 2, the small forward (SF) or 3, the power forward (PF) or 4, and the center (C) or 5 ""post position"".",https://en.wikipedia.org/wiki/Basketball_positions
Basketball,The Basketball Diaries (film),"The Basketball Diaries is a 1995 American biographical crime drama film. The movie deals with drug addiction and its unfavorable outcome in lives of common people. Directed by Scott Kalvert in his feature directorial debut and based on an autobiographical novel by the same name written by Jim Carroll. It tells the story of Carroll's teenage years as a promising high school basketball player and writer who develops an addiction to heroin. Distributed by New Line Cinema, The Basketball Diaries stars Leonardo DiCaprio as Carroll, along with Bruno Kirby, Lorraine Bracco, Ernie Hudson, Patrick McGaw, James Madio, Michael Imperioli, and Mark Wahlberg in supporting roles.
The Basketball Diaries premiered at the Sundance Film Festival on January 27, 1995. The film was widely released in theaters on April 21, 1995, to mixed reviews and grossed $2.4 million at the box office.",https://en.wikipedia.org/wiki/The_Basketball_Diaries_(film)
Basketball,Small forward,"The small forward (SF), also known as the three, is one of the five positions in a regulation basketball game. Small forwards are typically shorter, quicker, and leaner than power forwards and centers but taller, larger, and stronger than either of the guard positions. They are strategic and are often relied upon to score, defend, create open lanes, and rebound for their team.
The small forward is considered to be perhaps the most versatile of the five main basketball positions as they contribute offensively and defensively. In the NBA, small forwards typically range from 6' 6"" (1.98 m) to 6' 9"" (2.06 m); in the WNBA, they are usually between 6' 0"" (1.83 m) to 6' 2"" (1.88 m). This puts them at the average height of all professional basketball players because they are taller than the guards, but shorter than the power forward and center. 
Small forwards are responsible for scoring points and defending, and often are secondary or tertiary rebounders behind the power forward and center. In professional basketball, some have considerable passing responsibilities, and many are prolific scorers. 
The styles with which small forwards score vary widely. Some are very accurate shooters, such as Kevin Durant, and some prefer to initiate physical contact with opposing players, such as LeBron James. Other small forwards are often primarily slashers who also possess jump shots. In some cases, small forwards position on the baseline; in other cases, they operate as off-ball specialists. The defensive specialists among them are notably versatile, often being able to guard multiple positions using their size, speed, and strength. Having adequate footwork and a solid defensive stance contributes to why small forwards are successful. When it comes to statistics, small forwards must be all over the map and at least have stats in most categories.
There are many excellent small forwards that are well known for their contributions and versatility. Top small forwards in the history of the WNBA include: Maya Moore, Angel McCoughtry, Tamika Catchings, Elena Delle Donne, and DeWanna Bonner. Small forwards inducted in the Naismith Memorial Basketball Hall of Fame include Julius Erving, Larry Bird, James Worthy, Elgin Baylor, Paul Pierce, Vince Carter, John Havlicek, Scottie Pippen, Alex English, Bernard King, Chris Mullin, Dominique Wilkins, Rick Barry, Grant Hill, Tamika Catchings, Cheryl Miller, and Sheryl Swoopes.

",https://en.wikipedia.org/wiki/Small_forward
Basketball,Basketball Wives,"Basketball Wives is an American reality television series broadcast on VH1. It has aired eleven seasons, and follows the everyday lives of women romantically linked to players in the professional basketball industry. The first five seasons were filmed in Miami, Florida, and aired from April 11, 2010 until October 21, 2013. The spin-off series, Basketball Wives LA, also aired five seasons from August 29, 2011 until October 23, 2016. The original Basketball Wives was rebooted and relocated to Los Angeles, California beginning with the sixth season, which premiered on April 17, 2017. Some Basketball Wives LA cast members were combined into the original series, and subsequent seasons are considered continuous with the original series by the network.
Basketball Wives cast members that have appeared on both runs include Shaunie Henderson, Evelyn Lozada, Tami Roman, and Jennifer Williams. Basketball Wives LA cast members that were combined into the second run include Jackie Christie, Malaysia Pargo, Brooke Bailey, Brandi Maxiell, Brittish Williams, Angel Brinks, and LaTosha Duffey. The cast of the upcoming twelfth season features Christie, Henderson, Lozada, Maxiell, Williams, Brittany Renner, Ming Lee, and Ty Young.
The success of Basketball Wives has led to the spin-offs Football Wives, Baseball Wives, Shaunie's Homecourt, Baller Wives and Basketball Wives Orlando.",https://en.wikipedia.org/wiki/Basketball_Wives
Basketball,Anthony Edwards (basketball),"Anthony Edwards (born August 5, 2001), nicknamed ""Ant-Man"" or simply ""Ant"", is an American professional basketball player for the Minnesota Timberwolves of the National Basketball Association (NBA). A shooting guard, Edwards played college basketball for the Georgia Bulldogs and was selected with the first overall pick by the Timberwolves in the 2020 NBA draft. He is a three-time NBA All-Star and won a gold medal on the 2024 U.S. Olympic team.
Edwards finished his high school career at Holy Spirit Preparatory School in his hometown of Atlanta, Georgia, where he was rated a consensus five-star recruit and one of the best players in the 2019 class by major recruiting services. As a senior, he earned McDonald's All-American and USA Today All-USA first team honors. He committed to play college basketball for Georgia, becoming the highest-rated recruit to do so, and was named SEC Freshman of the Year after his freshman season with the team.",https://en.wikipedia.org/wiki/Anthony_Edwards_(basketball)
Basketball,Craig Robinson (basketball),"Craig Malcolm Robinson (born April 21, 1962) is an American college basketball coach, basketball executive, and broadcaster. He is a former head men's basketball coach at Oregon State University and Brown University. He was a star forward as a player at Princeton University in the early 1980s and a bond trader during the 1990s. He currently is the executive director of the National Association of Basketball Coaches. He is the brother of former First Lady Michelle Obama and brother-in-law of 44th President of the United States Barack Obama.",https://en.wikipedia.org/wiki/Craig_Robinson_(basketball)
Basketball,Love & Basketball,"Love & Basketball is a 2000 American romantic sports drama film written and directed by Gina Prince-Bythewood in her feature film directorial debut. The film is produced by Spike Lee and Sam Kit and stars Sanaa Lathan and Omar Epps. It tells the story of Quincy McCall (Epps) and Monica Wright (Lathan), two next-door neighbors in Los Angeles, who are pursuing their respective basketball careers before eventually falling for each other.
Love & Basketball was released on April 21, 2000 in the United States. It received positive reviews from critics, with praise directed at the performances of Lathan and Epps, Prince-Bythewood's direction and script, and the emotional weight of the film. It grossed $27.7 million worldwide on a production budget of $14–20 million.
Over the years, the film has developed a dedicated following, cementing its place in popular culture, and establishing itself as a cult classic.
In 2023, the film was selected for preservation in the United States National Film Registry by the Library of Congress as being ""culturally, historically or aesthetically significant.""

",https://en.wikipedia.org/wiki/Love_&_Basketball
Basketball,1992 United States men's Olympic basketball team,"The men's national basketball team of the United States competed at the 1992 Summer Olympics in Barcelona, Spain, and won the gold medal. Nicknamed the ""Dream Team"", it was the first American Olympic team to include active professional players from the National Basketball Association (NBA). Team USA defeated its opponents by an average of 44 points en route to winning the gold medal round against Croatia. The team has often been described as the greatest sports team ever assembled.
The team was collectively inducted into the U.S. Olympic Hall of Fame in 2009, the Naismith Memorial Basketball Hall of Fame in 2010, and the FIBA Hall of Fame in 2017. The Naismith Hall of Fame calls the team ""the greatest collection of basketball talent on the planet"".  In addition to the team induction, 11 players and three coaches have been inducted individually into the Naismith Hall of Fame.

",https://en.wikipedia.org/wiki/1992_United_States_men's_Olympic_basketball_team
Basketball,Naismith Memorial Basketball Hall of Fame,"The Naismith Memorial Basketball Hall of Fame  is an American history museum and hall of fame, located at 1000 Hall of Fame Avenue in Springfield, Massachusetts. It serves as basketball's most complete library, in addition to promoting and preserving the history of basketball. Dedicated to Canadian-American physician James Naismith, who invented the sport in Springfield, the Hall of Fame inducted its first class in 1959, before opening its first facility on February 17, 1968.
As of 2024, the Hall has formally inducted 436 players, coaches, referees, and other basketball professionals. The Boston Celtics have the most inductees, with 40.

",https://en.wikipedia.org/wiki/Naismith_Memorial_Basketball_Hall_of_Fame
Basketball,Kuroko's Basketball,"Kuroko's Basketball (Japanese: 黒子のバスケ, Hepburn: Kuroko no Basuke) is a Japanese sports manga series written and illustrated by Tadatoshi Fujimaki. It was serialized in Shueisha's shōnen manga magazine Weekly Shōnen Jump from December 2008 to September 2014, with its chapters collected in 30 tankōbon volumes. It tells the story of a high school basketball team trying to make it to the national tournament.
An anime television series adaptation by Production I.G aired for three seasons from April 2012 to June 2015. A sequel manga, Kuroko's Basketball: Extra Game, was serialized in Jump Next! from December 2014 to March 2016. An anime film adaptation of the Kuroko's Basketball: Extra Game manga premiered in March 2017. A stage play adaptation opened in April 2016 followed by more stage adaptations.
The manga has been licensed for English-language release by Viz Media in North America. By November 2020, Kuroko's Basketball had over 31 million copies in circulation, making it one of the best-selling manga series.

",https://en.wikipedia.org/wiki/Kuroko's_Basketball
Basketball,FIBA,"The International Basketball Federation (FIBA  FEE-bə; French: Fédération Internationale de Basketball) is an association of national organizations which governs the sport of basketball worldwide. FIBA defines the rules of basketball, specifies the equipment and facilities required, organizes international competitions, regulates the transfer of athletes across countries, and controls the appointment of international referees. A total of 212 national federations are  members, organized since 1989 into five zones: Africa, Americas, Asia, Europe, and Oceania.
FIBA organizes both the men's and women's FIBA World Olympic Qualifying Tournament and the Summer Olympics Basketball Tournament, which are sanctioned by the IOC. The FIBA Basketball World Cup is a world tournament for men's national teams held every four years. Teams compete for the Naismith Trophy, named in honor of basketball's Canadian-American creator James Naismith. The tournament structure is similar but not identical to that of the FIFA World Cup in association football; these tournaments occurred in the same year from 1970 through 2014, but starting in 2019, the Basketball World Cup moved to the year following the FIFA World Cup. A parallel event for women's teams, the FIBA Women's Basketball World Cup, is also held quadrennial; from 1986 through 2014, it was held in the same year as the men's event but in a different country.

",https://en.wikipedia.org/wiki/FIBA
Basketball,Women's basketball,"Women's basketball is the team sport of basketball played by women. It was first played in 1892, one year after men's basketball, at Smith College in Massachusetts. It spread across the United States, in large parts via women's college competitions, and has since spread globally. As of 2020, basketball is one of the most popular and fastest growing sports in the world.
There are multiple professional leagues and tournaments for professional women basketball players. The main North American league is the WNBA. The FIBA Women's Basketball World Cup and Women's Olympic Basketball Tournament feature top national teams from continental championships. In the US, the NCAA Women's Division I Basketball Championship is also popular. The strongest European women's basketball clubs participate in the EuroLeague Women.

",https://en.wikipedia.org/wiki/Women's_basketball
